"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type"
"News","Matsumoto M,Yagasaki T,Tanaka H","GenIce: Hydrogen-Disordered Ice Generator","J. Comput. Chem.","Journal of computational chemistry","2018","39","1","61-64","","田中さん業績集;Matsumoto","Wiley Online Library","2018-01-05","","0192-8651","1096-987X","http://dx.doi.org/10.1002/jcc.25077;https://www.ncbi.nlm.nih.gov/pubmed/29023825;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5725672;https://doi.org/10.1002/jcc.25077;https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.25077;https://scholar.google.ca/scholar?cluster=2503581297129780629&hl=en&as_sdt=0,5&sciodt=0,5;https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcc.25077","10.1002/jcc.25077","29023825","PMC5725672","GenIce is an efficient and user-friendly tool to generate hydrogen-disordered ice structures. It makes ice and clathrate hydrate structures in various file formats. More than 100 kinds of structures are preset. Users can install their own crystal structures, guest molecules, and file formats as plugins. The algorithm certifies that the generated structures are completely randomized hydrogen-disordered networks obeying the ice rule with zero net polarization. © 2017 The Authors. Journal of Computational Chemistry Published by Wiley Periodicals, Inc.","clathrate hydrates; hydrogen-disordered ice; ice polymorphs; lattice generator; zeolite","","Division of Superconducting and Functional Materials, Research Institute for Interdisciplinary Science, Okayama University, Okayama, 700-8530, Japan.","en","News"
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Molecular Dynamics Study of Kinetic Hydrate Inhibitors: The Optimal Inhibitor Size and Effect of Guest Species","J. Phys. Chem. C","Journal of Physical Chemistry C","2019","123","3","1806-1816","","田中さん業績集;Matsumoto","American Chemical Society","2019-01-24","","1932-7447","","https://doi.org/10.1021/acs.jpcc.8b09834;http://dx.doi.org/10.1021/acs.jpcc.8b09834;https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.8b09834;https://scholar.google.ca/scholar?cluster=1545232157153627060&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.8b09834?t=","10.1021/acs.jpcc.8b09834","","","We propose a model for slowing down of clathrate hydrate formation caused by kinetic hydrate inhibitors (KHIs) on the basis of the Gibbs–Thomson effect. The residence time of inhibitor molecules bound to the hydrate surface and the intrinsic growth rate of the clathrate hydrate without KHIs are key ingredients of the model. The binding free energies of the monomer, dimer, tetramer, and octamer of a KHI, polyvinylcaprolactam (PVCap), are calculated using molecular dynamics simulations to estimate the residence times, which are far beyond the feasible simulation time. Our model accounts for the kinetic inhibition mechanism while reproducing experimental data of the size dependence of PVCap very well. We demonstrate that this model explains why blends of high and low-molecular-weight polymers show better performance than the KHI with a unimodal molecular weight distribution and why quaternary ammonium cations are good KHIs for tetrahydrofuran hydrate although they cannot inhibit formation of natural gas hydrates.","","","","",""
"Journal Article","Matsui T,Yagasaki T,Matsumoto M,Tanaka H","Phase diagram of ice polymorphs under negative pressure considering the limits of mechanical stability","J. Chem. Phys.","The Journal of chemical physics","2019","150","4","041102","","田中さん業績集;Matsumoto","aip.scitation.org","2019-01-28","","0021-9606","1089-7690","http://dx.doi.org/10.1063/1.5083021;https://www.ncbi.nlm.nih.gov/pubmed/30709248;https://doi.org/10.1063/1.5083021;https://aip.scitation.org/doi/abs/10.1063/1.5083021;https://scholar.google.ca/scholar?cluster=18075303807472718715&hl=en&as_sdt=0,5&sciodt=0,5;https://aip.scitation.org/doi/pdf/10.1063/1.5083021?t=","10.1063/1.5083021","30709248","","Thermodynamic and mechanical stabilities of various ultralow-density ices are examined using computer simulations to construct the phase diagram of ice under negative pressure. Some ultralow-density ices, which were predicted to be thermodynamically metastable under negative pressures on the basis of the quasi-harmonic approximation, can exist only in a narrow pressure range at very low temperatures because they are mechanically fragile due to the large distortion in the hydrogen bonding network. By contrast, relatively dense ices such as ice Ih and ice XVI withstand large negative pressure. Consequently, various ices appear one after another in the phase diagram. The phase diagram of ice under negative pressure exhibits a different complexity from that of positive pressure because of the mechanical instability.","","","Graduate School of Natural Science and Technology, Okayama University, Okayama 700-8530, Japan. Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Tanaka H,Yagasaki T,Matsumoto M","On the Thermodynamic Stability of Clathrate Hydrates VI: Complete Phase Diagram","J. Phys. Chem. B","The journal of physical chemistry. B","2018","122","1","297-308","","田中さん業績集;Matsumoto","","2018-01-11","","1520-6106","1520-5207","http://dx.doi.org/10.1021/acs.jpcb.7b10581;https://www.ncbi.nlm.nih.gov/pubmed/29212321;https://dx.doi.org/10.1021/acs.jpcb.7b10581;https://scholar.google.ca/scholar?cluster=5022694993612036884&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/acs.jpcb.7b10581","29212321","","We develop a method to evaluate the thermodynamic stability of clathrate hydrates relative to host water and/or guest species. This enables to investigate complete phase behaviors of clathrate hydrates in the whole space of the thermodynamic variables, not only temperature and pressure but also composition, with only the intermolecular interactions as input parameters. A complete phase diagram of clathrate hydrate is settled with this method, specifically the region enclosed by the hydrate/water and hydrate/guest phase boundaries where a clathrate hydrate is the only stable phase. The method is applied to methane clathrate hydrate, which results in an excellent agreement in dissociation pressure with the experimental observations. It is found that the hydrate/water phase boundary is significantly affected by the phase transition of water from ice to liquid. This transition limits the stable area of the clathrate hydrate terminated at the dissociation temperature, which otherwise exhibits unphysical divergence. It is essential to choose a pressure as an independent variable so as to calculate the accurate phase equilibria in composition space. The present method establishes a pressure-temperature-composition relation for a single stable phase of clathrate hydrate as well as recovering its temperature dependence of the dissociation pressure.","","","Research Institute for Interdisciplinary Science, Okayama University , Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Adsorption of Kinetic Hydrate Inhibitors on Growing Surfaces: A Molecular Dynamics Study","J. Phys. Chem. B","The journal of physical chemistry. B","2018","122","13","3396-3406","","田中さん業績集;Matsumoto","","2018-04-05","","1520-6106","1520-5207","http://dx.doi.org/10.1021/acs.jpcb.7b10356;https://www.ncbi.nlm.nih.gov/pubmed/29278335;https://dx.doi.org/10.1021/acs.jpcb.7b10356;https://scholar.google.ca/scholar?cluster=14145100811512086445&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/acs.jpcb.7b10356","29278335","","We investigate the mechanism of a typical kinetic hydrate inhibitor (KHI), polyvinylcaprolactam (PVCap), which has been applied to prevent hydrate plugs from forming in gas pipe lines, using molecular dynamics simulations of crystal growth of ethylene oxide hydrate. Water-soluble ethylene oxide is chosen as a guest species to avoid problems associated with the presence of the gas phase in the simulation cell such as slow crystal growth. A PVCap dodecamer adsorbs irreversibly on the hydrate surface which grows at supercooling of 3 K when the hydrophobic part of two pendent groups are trapped in open cages at the surface. The amide hydrogen bonds make no contribution to the adsorption. PVCap can adsorb on various crystallographic planes of sI hydrate. This is in contrast to antifreeze proteins, each of which prefers a specific plane of ice. The trapped PVCap gives rise to necessarily the concave surface of the hydrate. The crystal growth rate decreases with increasing surface curvature, indicating that the inhibition by PVCap is explained by the Gibbs-Thomson effect.","","","Research Institute for Interdisciplinary Science , Okayama University , Okayama 700-8530 , Japan.","en","Research Article"
"Journal Article","Matsui T,Hirata M,Yagasaki T,Matsumoto M,Tanaka H","Communication: Hypothetical ultralow-density ice polymorphs","J. Chem. Phys.","The Journal of chemical physics","2017","147","9","091101","","田中さん業績集;Matsumoto","","2017-09-07","","0021-9606","1089-7690","http://dx.doi.org/10.1063/1.4994757;https://www.ncbi.nlm.nih.gov/pubmed/28886658;https://dx.doi.org/10.1063/1.4994757;https://scholar.google.ca/scholar?cluster=3731479635568349144&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.4994757","28886658","","More than 300 kinds of porous ice structures derived from zeolite frameworks and space fullerenes are examined using classical molecular dynamics simulations. It is found that a hypothetical zeolitic ice phase is less dense and more stable than the sparse ice structures reported by Huang et al. [Chem. Phys. Lett. 671, 186 (2017)]. In association with the zeolitic ice structure, even less dense structures, ''aeroices,'' are proposed. It is found that aeroices are the most stable solid phases of water near the absolute zero temperature under negative pressure.","","","Graduate School of Natural Science and Technology, Okayama University, Okayama 700-8530, Japan. Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Hirata M,Yagasaki T,Matsumoto M,Tanaka H","Phase Diagram of TIP4P/2005 Water at High Pressure","Langmuir","Langmuir: the ACS journal of surfaces and colloids","2017","33","42","11561-11569","","田中さん業績集;Matsumoto","","2017-10-24","","0743-7463","1520-5827","http://dx.doi.org/10.1021/acs.langmuir.7b01764;https://www.ncbi.nlm.nih.gov/pubmed/28796510;https://dx.doi.org/10.1021/acs.langmuir.7b01764;https://scholar.google.ca/scholar?cluster=14858508040493951760&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/acs.langmuir.7b01764","28796510","","We report a new ice phase that forms spontaneously at the interface between ice VII and liquid water in molecular dynamics simulations of TIP4P/2005 water. The new phase is structurally quite similar to an ice phase originally found to be a precursor in the course of the homogeneous nucleation of ice VII in liquid water. A part of the water molecules in these ice phases can rotate easily because the number of hydrogen bonds in them is less than four, and thus they can be regarded as partial plastic phases. A rough estimate suggests that these phases are thermodynamically more stable than either ice VI or ice VII for 3 GPa < P < 18 GPa at T = 300 K. Although the partial plastic phases would be metastable states at any point in the phase diagram of real water, they might be realized experimentally with the aid of dopants and/or solid surfaces.","","","Graduate School of Natural Science and Technology and ‡Research Institute for Interdisciplinary Science, Okayama University , Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Anomalous thermodynamic properties of ice XVI and metastable hydrates","Phys. Rev. B Condens. Matter","Physical review. B, Condensed matter","2016","93","5","054118","","田中さん業績集;Matsumoto","American Physical Society","2016-02-29","","0163-1829","","https://link.aps.org/doi/10.1103/PhysRevB.93.054118;http://dx.doi.org/10.1103/PhysRevB.93.054118;https://journals.aps.org/prb/abstract/10.1103/PhysRevB.93.054118;https://scholar.google.ca/scholar?cluster=1550268314509116538&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.aps.org/prb/pdf/10.1103/PhysRevB.93.054118","10.1103/PhysRevB.93.054118","","","A new ice polymorph, called ice XVI, has recently been discovered experimentally by extracting the guest molecules from Ne hydrate. The ice and its filled form (clathrate hydrate) have a unique network topology which results in several interesting properties. Here we …","","","","",""
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Mechanism of Slow Crystal Growth of Tetrahydrofuran Clathrate Hydrate","J. Phys. Chem. C","Journal of Physical Chemistry C","2016","120","6","3305-3313","","田中さん業績集;Matsumoto","American Chemical Society","2016-02-18","","1932-7447","","https://doi.org/10.1021/acs.jpcc.5b10293;http://dx.doi.org/10.1021/acs.jpcc.5b10293;https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.5b10293;https://scholar.google.ca/scholar?cluster=17831526386809935771&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.5b10293?t=","10.1021/acs.jpcc.5b10293","","","Tetrahydrofuran (THF) clathrate hydrate has been frequently used in experimental studies instead of gas hydrates because it forms at a temperature higher than the ice point under ambient pressure. In this paper, we compare the crystal growth rates of THF hydrate and ice using molecular dynamics simulations. It is demonstrated that the crystal growth of THF hydrate is much slower than that of ice. The growth rates of THF hydrate significantly deviate from a standard kinetic model known as the Wilson–Frenkel model, whereas it reproduces the temperature dependence of the growth rate of ice. The slow crystal growth and the deviation from the Wilson–Frenkel model are attributed to the trapping of THF molecules in open small cages at the hydrate surface. We calculate the free energy profile of a THF molecule transferring from the bulk solution phase to the hydrate surface using the umbrella sampling technique. It is shown that a THF molecule trapped in an open small cage needs to cross one or two free energy barriers to escape from the surface region. We also refer to the similarity between the mechanism of slow growth of THF hydrate and the effect of kinetic hydrate inhibitors.","","","","",""
"Journal Article","Nakamura T,Matsumoto M,Yagasaki T,Tanaka H","Thermodynamic Stability of Ice II and Its Hydrogen-Disordered Counterpart: Role of Zero-Point Energy","J. Phys. Chem. B","The journal of physical chemistry. B","2016","120","8","1843-1848","","田中さん業績集;Matsumoto","","2016-03-03","","1520-6106","1520-5207","http://dx.doi.org/10.1021/acs.jpcb.5b09544;https://www.ncbi.nlm.nih.gov/pubmed/26595233;https://dx.doi.org/10.1021/acs.jpcb.5b09544;https://scholar.google.ca/scholar?cluster=14191674845949547754&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/acs.jpcb.5b09544","26595233","","We investigate why no hydrogen-disordered form of ice II has been found in nature despite the fact that most of hydrogen-ordered ices have hydrogen-disordered counterparts. The thermodynamic stability of a set of hydrogen-ordered ice II variants relative to ice II is evaluated theoretically. It is found that ice II is more stable than the disordered variants so generated as to satisfy the simple ice rule due to the lower zero-point energy as well as the pair interaction energy. The residual entropy of the disordered ice II phase gradually compensates the unfavorable free energy with increasing temperature. The crossover, however, occurs at a high temperature well above the melting point of ice III. Consequently, the hydrogen-disordered phase does not exist in nature. The thermodynamic stability of partially hydrogen-disordered ices is also scrutinized by examining the free-energy components of several variants obtained by systematic inversion of OH directions in ice II. The potential energy of one variant is lower than that of the ice II structure, but its Gibbs free energy is slightly higher than that of ice II due to the zero-point energy. The slight difference in the thermodynamic stability leaves the possibility of the partial hydrogen-disorder in real ice II.","","","Department of Chemistry, Faculty of Science, Okayama University , 3-1-1 Tsushima-naka, Okayama 700-8530, Japan. Research Center of New Functional Materials for Energy Production, Storage and Transport , Okayama 700-8530, Japan.","en","Research Article"
